DATE,PM2.5
02-04-2021,110
03-04-2021,90
04-04-2021,80
05-04-2021,73
06-04-2021,99
07-04-2021,89
08-04-2021,78
09-04-2021,87
10-04-2021,102
11-04-2021,94
12-04-2021,98
13-04-2021,93
14-04-2021,85
15-04-2021,88
16-04-2021,76
17-04-2021,74
18-04-2021,90
19-04-2021,80
20-04-2021,68
21-04-2021,69
22-04-2021,76
23-04-2021,78
24-04-2021,78
25-04-2021,82
26-04-2021,117
27-04-2021,95
28-04-2021,77
29-04-2021,69
30-04-2021,75
01-05-2021,69
02-05-2021,77
03-05-2021,105
04-05-2021,77
05-05-2021,74
06-05-2021,71
07-05-2021,64
08-05-2021,50
09-05-2021,38
10-05-2021,50
11-05-2021,60
12-05-2021,58
13-05-2021,59
14-05-2021,62
15-05-2021,102
16-05-2021,55
17-05-2021,32
19-05-2021,53
20-05-2021,76
21-05-2021,78
22-05-2021,67
23-05-2021,61
24-05-2021,56
25-05-2021,58
26-05-2021,55
27-05-2021,48
28-05-2021,47
29-05-2021,53
30-05-2021,53
31-05-2021,66
01-06-2021,58
02-06-2021,56
03-06-2021,55
04-06-2021,52
05-06-2021,64
06-06-2021,47
07-06-2021,47
08-06-2021,50
09-06-2021,39
10-06-2021,35
11-06-2021,44
12-06-2021,29
13-06-2021,40
14-06-2021,59
15-06-2021,51
16-06-2021,51
17-06-2021,68
18-06-2021,73
19-06-2021,64
20-06-2021,107
21-06-2021,94
22-06-2021,68
23-06-2021,66
24-06-2021,59
25-06-2021,55
26-06-2021,77
27-06-2021,54
28-06-2021,66
29-06-2021,51
30-06-2021,53
04-01-2021,180
05-01-2021,180
06-01-2021,194
07-01-2021,190
08-01-2021,184
09-01-2021,180
10-01-2021,173
11-01-2021,173
12-01-2021,170
13-01-2021,164
14-01-2021,163
15-01-2021,151
16-01-2021,155
17-01-2021,163
18-01-2021,126
19-01-2021,161
20-01-2021,166
21-01-2021,170
22-01-2021,186
23-01-2021,181
24-01-2021,160
25-01-2021,166
26-01-2021,172
27-01-2021,175
28-01-2021,182
29-01-2021,176
30-01-2021,169
31-01-2021,167
01-02-2021,167
02-02-2021,154
03-02-2021,161
04-02-2021,167
05-02-2021,152
06-02-2021,150
07-02-2021,132
08-02-2021,145
09-02-2021,153
10-02-2021,178
11-02-2021,187
12-02-2021,178
13-02-2021,152
14-02-2021,145
15-02-2021,117
16-02-2021,119
