DATE,PM2.5
18-08-2021,56
22-08-2021,72
23-08-2021,69
24-08-2021,90
25-08-2021,100
26-08-2021,88
27-08-2021,88
28-08-2021,43
29-08-2021,32
30-08-2021,33
31-08-2021,34
01-09-2021,41
02-09-2021,48
03-09-2021,59
04-09-2021,82
05-09-2021,55
06-09-2021,18
07-09-2021,28
08-09-2021,31
09-09-2021,44
10-09-2021,95
11-09-2021,36
12-09-2021,29
13-09-2021,34
14-09-2021,15
16-09-2021,55
17-09-2021,69
18-09-2021,82
19-09-2021,107
20-09-2021,55
21-09-2021,39
22-09-2021,55
23-09-2021,78
24-09-2021,106
25-09-2021,127
26-09-2021,56
27-09-2021,43
28-09-2021,28
29-09-2021,31
30-09-2021,35
01-04-2021,160
02-04-2021,144
03-04-2021,143
04-04-2021,136
05-04-2021,137
06-04-2021,138
07-04-2021,123
08-04-2021,129
09-04-2021,130
10-04-2021,140
11-04-2021,126
12-04-2021,135
13-04-2021,109
14-04-2021,109
15-04-2021,119
16-04-2021,128
17-04-2021,83
18-04-2021,80
19-04-2021,111
20-04-2021,99
21-04-2021,105
22-04-2021,137
23-04-2021,161
24-04-2021,146
25-04-2021,127
26-04-2021,123
27-04-2021,115
28-04-2021,121
29-04-2021,113
30-04-2021,112
01-05-2021,121
02-05-2021,113
03-05-2021,107
04-05-2021,112
05-05-2021,93
06-05-2021,79
07-05-2021,83
08-05-2021,95
09-05-2021,71
10-05-2021,86
11-05-2021,70
12-05-2021,98
13-05-2021,95
14-05-2021,108
15-05-2021,84
16-05-2021,63
17-05-2021,60
18-05-2021,65
19-05-2021,70
20-05-2021,60
21-05-2021,64
22-05-2021,78
23-05-2021,114
24-05-2021,89
25-05-2021,87
26-05-2021,158
27-05-2021,52
28-05-2021,78
29-05-2021,92
30-05-2021,92
31-05-2021,80
01-06-2021,99
02-06-2021,81
03-06-2021,84
04-06-2021,99
05-06-2021,93
06-06-2021,90
07-06-2021,75
08-06-2021,77
09-06-2021,102
10-06-2021,90
11-06-2021,86
12-06-2021,75
13-06-2021,71
14-06-2021,76
